company_name,high,low,last_price,prev_close,change,percent_gain
TeamLease Ser.,"2,512.95","2,475.00","2,482.95","2,457.60",25.35,1.03
Aarti Drugs,488.25,482.45,486.35,481.45,4.9,1.02
Alembic Pharma,734.40,715.00,734.00,726.60,7.4,1.02
Adani Energy,774.10,765.05,768.20,760.45,7.75,1.02
City Union Bank,144.30,143.10,143.70,142.25,1.45,1.02
Alkyl Amines,"2,155.00","2,127.50","2,149.00","2,127.50",21.5,1.01
CreditAccess Gr,"1,728.50","1,707.80","1,716.80","1,699.70",17.1,1.01
IDFC First Bank,86.70,86.00,86.20,85.35,0.85,1
Oil India,311.40,307.00,308.80,305.75,3.05,1
Macrotech Dev,864.55,856.00,862.55,854.10,8.45,0.99
Orient Electric,220.00,217.80,219.90,217.75,2.15,0.99
PI Industries,"3,734.30","3,705.00","3,724.00","3,687.35",36.65,0.99
Sundram,"1,288.85","1,271.95","1,278.40","1,265.85",12.55,0.99
Eicher Motors,"3,611.55","3,570.00","3,575.45","3,540.75",34.7,0.98
KNR Construct,268.50,265.80,267.25,264.65,2.6,0.98
AU Small Financ,715.75,703.45,706.00,699.25,6.75,0.97
HEG,"1,584.00","1,577.00","1,581.90","1,566.75",15.15,0.97
Welspun India,150.75,149.60,150.30,148.85,1.45,0.97
Godrej Prop,"1,841.85","1,825.20","1,835.00","1,817.65",17.35,0.95
Craftsman,"4,980.00","4,913.40","4,933.80","4,888.05",45.75,0.94
Gujarat Fluoro,"2,810.40","2,780.00","2,801.00","2,775.05",25.95,0.94
IRFC,75.40,74.65,74.80,74.10,0.7,0.94
Bharat Dynamics,"1,069.00","1,060.00","1,063.00","1,053.20",9.8,0.93
Tata Elxsi,"8,171.00","8,077.00","8,130.00","8,055.05",74.95,0.93
Hikal,281.75,278.50,278.95,276.40,2.55,0.92
L&T Finance,142.70,141.65,142.10,140.80,1.3,0.92
Brigade Ent,715.30,703.30,707.20,700.90,6.3,0.9
Exide Ind,272.00,270.00,270.55,268.15,2.4,0.9
Godfrey Phillip,"2,108.90","2,095.00","2,098.05","2,079.35",18.7,0.9
IGL,398.75,396.05,397.70,394.15,3.55,0.9
NOCIL,228.90,227.00,227.40,225.40,2,0.89
NTPC,246.35,243.00,244.90,242.75,2.15,0.89
Epigral,920.00,910.00,914.70,906.70,8,0.88
Adani Green Ene,952.75,941.05,946.90,938.70,8.2,0.87
Medplus Health,816.70,809.60,813.65,806.60,7.05,0.87
SBI Card,762.00,755.75,760.00,753.45,6.55,0.87
Thermax,"2,969.95","2,899.65","2,920.00","2,894.75",25.25,0.87
AIA Engineering,"3,607.70","3,565.00","3,590.00","3,559.50",30.5,0.86
Granules India,371.00,367.10,369.70,366.55,3.15,0.86
Grindwell Norto,"2,098.00","2,071.65","2,083.90","2,066.10",17.8,0.86
Interglobe Avi,"2,549.00","2,504.20","2,523.00","2,501.75",21.25,0.85
KPIL,635.95,631.55,635.60,630.25,5.35,0.85
Piramal Enter,963.00,951.40,953.75,945.75,8,0.85
Balaji Amines,"2,054.95","2,033.20","2,042.00","2,025.00",17,0.84
J. K. Cement,"3,553.80","3,482.70","3,492.60","3,463.50",29.1,0.84
CIEINDIA,478.45,472.45,474.20,470.25,3.95,0.84
Nazara,830.00,824.00,827.00,820.15,6.85,0.84
Wipro,383.40,381.45,382.50,379.30,3.2,0.84
Aditya Birla F,219.20,217.25,218.40,216.60,1.8,0.83
Sun TV Network,654.25,640.00,652.30,646.90,5.4,0.83
ACC,"1,847.95","1,832.00","1,840.25","1,825.30",14.95,0.82
DLF,611.45,606.75,611.00,606.05,4.95,0.82
DCM Shriram,893.65,883.80,891.05,883.80,7.25,0.82
Titan Company,"3,320.00","3,265.00","3,282.90","3,256.35",26.55,0.82
Varroc Engineer,475.80,471.10,473.55,469.70,3.85,0.82
Yes Bank,18.60,18.35,18.45,18.30,0.15,0.82
Ambuja Cements,422.20,420.00,421.50,418.10,3.4,0.81
Poonawalla Fin,395.40,392.00,393.25,390.10,3.15,0.81
Central Bank,44.30,44.00,44.25,43.90,0.35,0.8
Clean Science,"1,386.00","1,371.80","1,381.95","1,371.00",10.95,0.8
Graphite India,470.00,466.00,468.05,464.35,3.7,0.8
Tata Power,253.90,252.40,253.40,251.40,2,0.8
Eris Life,920.95,909.10,915.70,908.50,7.2,0.79
PNB Housing Fin,753.00,744.35,749.45,743.60,5.85,0.79
CSB Bank,350.85,348.05,350.60,347.90,2.7,0.78
India Cements,214.55,213.15,214.20,212.55,1.65,0.78
Muthoot Finance,"1,295.00","1,260.00","1,283.05","1,273.25",9.8,0.77
UTI AMC,792.00,782.05,786.00,780.00,6,0.77
Aegis Logistics,313.50,311.05,312.85,310.50,2.35,0.76
Adani Enterpris,"2,226.00","2,219.70","2,221.85","2,205.10",16.75,0.76
HFCL,66.25,66.00,66.20,65.70,0.5,0.76
Vardhman Text,370.00,365.00,369.45,366.65,2.8,0.76
TTK Prestige,815.00,799.00,804.00,797.95,6.05,0.76
Infibeam Avenue,20.45,19.80,20.15,20.00,0.15,0.75
Mazagon Dock,"2,003.40","1,991.65","1,998.50","1,983.65",14.85,0.75
Tata Steel,121.60,120.65,120.95,120.05,0.9,0.75
Tata Steel,121.60,120.65,120.95,120.05,0.9,0.75
Hind Zinc,305.80,303.20,304.00,301.80,2.2,0.73
Torrent Power,790.00,776.00,783.35,777.65,5.7,0.73
CHEMPLAST SANMA,454.40,442.10,450.50,447.30,3.2,0.72
Dalmia Bharat,"2,124.00","2,101.00","2,104.60","2,089.50",15.1,0.72
Union Bank,105.40,104.60,104.75,104.00,0.75,0.72
Larsen,"3,060.00","3,044.00","3,054.75","3,033.25",21.5,0.71
Reliance,"2,332.00","2,322.50","2,331.45","2,314.90",16.55,0.71
Asian Paints,"3,100.00","3,090.00","3,097.95","3,076.45",21.5,0.7
Sharda Crop,420.00,415.40,418.25,415.35,2.9,0.7
Shree Renuka,50.85,50.50,50.65,50.30,0.35,0.7
TCS,"3,359.00","3,345.00","3,356.95","3,333.45",23.5,0.7
Bandhan Bank,220.00,218.80,219.25,217.75,1.5,0.69
Sanofi India,"7,822.30","7,760.90","7,807.95","7,754.35",53.6,0.69
TataTeleservice,89.00,88.55,88.60,88.00,0.6,0.68
IEX,132.90,132.00,132.35,131.45,0.9,0.68
Container Corp,744.00,735.15,741.80,736.85,4.95,0.67
Zydus Wellness,"1,553.95","1,536.15","1,542.00","1,531.75",10.25,0.67
Emami,518.90,515.05,516.50,513.05,3.45,0.67
TML - D,448.30,445.40,446.40,443.45,2.95,0.67
TML - D,448.30,445.40,446.40,443.45,2.95,0.67
Castrol,138.50,135.50,137.55,136.65,0.9,0.66
Garware Technic,"3,153.70","3,123.20","3,141.75","3,121.20",20.55,0.66
Divis Labs,"3,524.75","3,495.10","3,516.00","3,493.20",22.8,0.65
HDFC Bank,"1,502.00","1,496.15","1,501.25","1,491.50",9.75,0.65
Dr Lal PathLab,"2,714.00","2,690.00","2,693.95","2,676.90",17.05,0.64
Just Dial,713.95,706.55,711.00,706.45,4.55,0.64
ONGC,198.80,196.50,197.15,195.90,1.25,0.64
Jamna Auto,112.60,112.00,112.30,111.60,0.7,0.63
IRCTC,678.85,676.00,676.65,672.45,4.2,0.62
UNO Minda,639.90,633.80,636.70,632.75,3.95,0.62
Nestle,"24,348.00","24,141.00","24,286.10","24,137.20",148.9,0.62
Raymond,"1,921.90","1,899.10","1,900.95","1,889.30",11.65,0.62
SBI Life Insura,"1,370.50","1,353.10","1,363.85","1,355.40",8.45,0.62
Bharat Elec,140.30,139.30,139.65,138.80,0.85,0.61
Zydus Life,624.80,619.85,623.70,619.90,3.8,0.61
Gland,"1,646.35","1,635.00","1,637.05","1,627.05",10,0.61
Bayer CropScien,"5,495.00","5,436.00","5,466.95","5,433.70",33.25,0.61
Laurus Labs,372.95,368.95,371.20,368.95,2.25,0.61
Max Healthcare,599.95,595.05,596.50,592.90,3.6,0.61
Oracle Fin Serv,"4,075.05","4,018.00","4,043.75","4,019.15",24.6,0.61
Honeywell Autom,"37,697.80","37,345.00","37,569.95","37,341.75",228.2,0.61
CG Consumer,285.05,281.70,283.95,282.25,1.7,0.6
GAIL,126.75,125.75,126.35,125.60,0.75,0.6
Adani Ports,816.70,813.00,813.45,808.60,4.85,0.6
PB Fintech,757.10,747.60,751.00,746.55,4.45,0.6
Rallis India,220.80,217.60,218.90,217.60,1.3,0.6
TCNS Clothing C,363.80,359.10,361.00,358.85,2.15,0.6
HINDPETRO,305.35,300.50,301.30,299.55,1.75,0.58
Indiamart Inter,"2,639.70","2,609.95","2,616.90","2,601.75",15.15,0.58
Chambal Fert,312.70,309.00,309.55,307.80,1.75,0.57
Chola Invest.,"1,160.00","1,149.00","1,154.75","1,148.25",6.5,0.57
TCI Express,"1,356.60","1,342.00","1,347.45","1,339.80",7.65,0.57
CESC,89.95,89.30,89.55,89.05,0.5,0.56
Bajaj Auto,"5,437.25","5,358.60","5,421.45","5,392.05",29.4,0.55
Praj Industries,575.00,565.10,570.00,566.90,3.1,0.55
Shriram Finance,"1,967.75","1,957.10","1,963.00","1,952.20",10.8,0.55
Tanla Platforms,957.85,949.05,951.60,946.40,5.2,0.55
Bharat Forge,"1,050.00","1,041.20","1,046.15","1,040.50",5.65,0.54
